"캠페인 보고서(2026.02.01.~2026.02.28.),1738680",,,,,,,,,,,
캠페인유형,캠페인,광고그룹,키워드,PC/모바일 매체,일별,노출수,클릭수,총비용,구매완료 전환수,구매완료 전환매출액(원),평균노출순위
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.3,9,0,0,0,0,4.1
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.4,10,0,0,0,0,3.9
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.5,6,0,0,0,0,3.2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.6,4,0,0,0,0,3.8
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.7,4,0,0,0,0,3.8
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.8,3,0,0,0,0,4.3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.9,38,0,0,0,0,3.3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.10,26,0,0,0,0,3.3
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.11,14,0,0,0,0,3.2
파워링크,#01.파워링크_브랜드키워드_자사몰,02. 철분제 (PC),철분젤리,PC,2026.2.12,9,0,0,0,0,3.6
